index;year;month;retail_turnover
1;2016;1;2129,5
2;2016;2;2119
3;2016;3;2247,8
4;2016;4;2222,6
5;2016;5;2258,1
6;2016;6;2283,3
7;2016;7;2381,2
8;2016;8;2458,4
9;2016;9;2418,5
10;2016;10;2443,8
11;2016;11;2435,5
12;2016;12;2919,6
13;2017;1;2214,9
14;2017;2;2176,6
15;2017;3;2361,2
16;2017;4;2336,8
17;2017;5;2386,3
18;2017;6;2421,3
19;2017;7;2509,9
20;2017;8;2585,5
21;2017;9;2569,9
22;2017;10;2594
23;2017;11;2571,2
24;2017;12;3085,7
25;2018;1;2330,4
26;2018;2;2271,8
27;2018;3;2486,4
28;2018;4;2468,6
29;2018;5;2522,6
30;2018;6;2573,3
31;2018;7;2643,9
32;2018;8;2744
33;2018;9;2719,1
34;2018;10;2744,9
35;2018;11;2762,8
36;2018;12;3311,6
37;2019;1;2502,8
38;2019;2;2448
39;2019;3;2670,2
40;2019;4;2646,6
41;2019;5;2688,9
42;2019;6;2731,1
43;2019;7;2792,9
